,City
1048,"Mountain View, CA"
1049,"Quincy, IL"
1050,"Nulato, AK"
1051,"St. George Island, AK"
1052,"Goodyear, AZ"
1053,"Cedar City, UT"
1054,"Chillicothe, OH"
1055,"Sheldon Point, AK"
1056,"Portland, OR"
1057,"Waterbury, CT"
1058,"Bettles, AK"
1059,"Chicago/Romeoville, IL"
1060,"Bellingham, WA"
1061,"Westerly, RI"
1062,"Igiugig, AK"
1063,"Uvalde, TX"
1064,"Friday Harbor, WA"
1065,"Alliance, NE"
1066,"Vieques, PR"
1067,"Novato, CA"
1068,"Chevak, AK"
1069,"Champaign/Urbana, IL"
1070,"Detroit, MI"
1071,"Kongiganak, AK"
1072,"Hagerstown, MD"
1073,"Coffman Cove, AK"
1074,"Columbus, OH"
1075,"Glasgow, MT"
1076,"Hudson, NY"
1077,"Beloit/Janesville, WI"
1078,"Alpine, AK"
1079,"Altoona, PA"
1080,"South Haven, MI"
1081,"Alakanuk, AK"
1082,"Point Hope, AK"
1083,"Des Moines, IA"
1084,"Pinehurst/Southern Pines, NC"
1085,"Pahrump, NV"
1086,"Mokuleia, HI"
1087,"Akun, AK"
1088,"Appleton, WI"
1089,"Utopia, AK"
1090,"Jackson, WY"
1091,"Panama City, FL"
1092,"Annapolis, MD"
1093,"Greensboro, GA"
1094,"Logan, UT"
1095,"Kansas City, MO"
1096,"Kokhanok, AK"
1097,"Juneau, AK"
1098,"Lincoln, NE"
1099,"Kingman, AZ"
1100,"Mansfield, MA"
1101,"New Orleans, LA"
1102,"Simsbury, CT"
1103,"Hattiesburg/Laurel, MS"
1104,"Nashville, TN"
1105,"Dry Bay, AK"
1106,"Blakely Island, WA"
1107,"Delta Junction, AK"
1108,"Amarillo, TX"
1109,"Ouzinkie, AK"
1110,"Las Vegas, NV"
1111,"Katmai Lodge, AK"
1112,"Chomondely Sound, AK"
1113,"Evansville, IN"
1114,"Edgartown, MA"
1115,"Funter Bay Alaska, AK"
1116,"Saipan, TT"
1117,"Napakiak, AK"
1118,"Ganes Creek, AK"
1119,"Gallup, NM"
1120,"Lopez Island, WA"
1121,"Brevig Mission, AK"
1122,"Denton, TX"
1123,"Mammoth Lakes, CA"
1124,"Meeker, CO"
1125,"Marion/Herrin, IL"
1126,"Kerrville, TX"
1127,"Koyukuk, AK"
1128,"Blytheville, AR"
1129,"St. George, UT"
1130,"Greer, SC"
1131,"Moultrie/Thomasville, GA"
1132,"Fitchburg, MA"
1133,"Rampart, AK"
1134,"Van Nuys, CA"
1135,"Elko, NV"
1136,"Deland, FL"
1137,"Concord, CA"
1138,"Chatham, MA"
1139,"Flint, MI"
1140,"Condon, OR"
1141,"Petersburg, AK"
1142,"Brooks Lodge, AK"
1143,"Horseshoe Bay, TX"
1144,"North Bend/Coos Bay, OR"
1145,"Palmer, AK"
1146,"Milledgeville, GA"
1147,"Dodge City, KS"
1148,"Venice, FL"
1149,"Niagara Falls, NY"
1150,"Port Clarence, AK"
1151,"Petaluma, CA"
1152,"Rutland, VT"
1153,"Chino, CA"
1154,"Hamilton, NY"
1155,"Kiluda Bay, AK"
1156,"Kahului, HI"
1157,"Mosinee, WI"
1158,"Chignik, AK"
1159,"Point Baker, AK"
1160,"Bloomington, IN"
1161,"Wiseman, AK"
1162,"Benton Harbor/St. Joseph, MI"
1163,"Ogdensburg, NY"
1164,"Houlton, ME"
1165,"Auburn, CA"
1166,"Provo, UT"
1167,"Albany, GA"
1168,"Dayton, OH"
1169,"New Iberia, LA"
1170,"Liberal, KS"
1171,"Aniak, AK"
1172,"Pocatello, ID"
1173,"West Palm Beach/Palm Beach, FL"
1174,"Crestview, FL"
1175,"DuBois, PA"
1176,"Minot, ND"
1177,"Ivotuk, AK"
1178,"Show Low, AZ"
1179,"Burlington/Mount Vernon, WA"
1180,"Toksook, AK"
1181,"Gulkana, AK"
1182,"Saratoga, WY"
1183,"St. Petersburg, FL"
1184,"Terre Haute, IN"
1185,"Eastsound, WA"
1186,"Sedona, AZ"
1187,"False Pass, AK"
1188,"Bennington, VT"
1189,"Ketchikan, AK"
1190,"Sanford, FL"
1191,"Connellsville, PA"
1192,"Tintina, AK"
1193,"Kotzebue, AK"
1194,"Winston-Salem, NC"
1195,"Columbia, MO"
1196,"Roswell, NM"
1197,"Jacksonville, FL"
1198,"Galena, AK"
1199,"Grand Forks, ND"
1200,"Zanesville, OH"
1201,"Longview, TX"
1202,"Coeur d'Alene, ID"
1203,"Livengood, AK"
1204,"Wiscasset, ME"
1205,"Newark, NJ"
1206,"Marshall, AK"
1207,"Ceiba, PR"
1208,"Hooper Bay, AK"
1209,"Wales, AK"
1210,"Raleigh/Durham, NC"
1211,"Pontiac, MI"
1212,"Montauk Point, NY"
1213,"Newburgh/Poughkeepsie, NY"
1214,"Redding, CA"
1215,"Avon Park, FL"
1216,"Decorah, IA"
1217,"Princeton, ME"
1218,"Middleton Island, AK"
1219,"Lawton/Fort Sill, OK"
1220,"Deerpark, AK"
1221,"Sioux City, IA"
